nomeFantasia,previsao_risco
Dr. Arthur Curtis,0
Harriet Kirk,0
Ashleigh Ryan-Harvey,0
Maureen Sullivan,0
Maureen Sullivan,0
Dr. Malcolm Elliott,0
Dr. Molly Dixon,0
Kenneth Banks,0
Joanne Lyons,0
Ashleigh Stevens,0
Sarah Atkinson-Smith,0
Dr. Sylvia Allen,0
Geraldine Ward,0
Alex Clark,0
Vanessa Rice,1
Toby Taylor,0
Nathan Jones,1
Hannah Coles,0
Diana Watson,0
Dr. Edward Stevenson,0
Diane Bennett,0
Bryan Ellis,0
Louis Brown,0
Caroline Sims-Stewart,0
Dr. Josephine Newman,0
Rachael Daniels,0
Rita Simmons,0
Dr. Kenneth McDonald,0
Martin Hall,0
Antony Bennett,0
Ms. Marilyn Macdonald,0
Miss Maureen West,1
Mohamed Thompson-Newman,1
Oliver Jones,0
Angela Burton-Taylor,0
Ms. Katie Hamilton,0
Janet Owen,1
Mathew Gibson,0
Janet Owen,1
Francis Andrews,1
Terence O'Connor,1
Mrs. Olivia Jones,0
Mrs. Olivia Jones,0
Jade Thomas,1
Lydia Watts,0
Mr. Elliot Henry,0
Dr. Justin George,0
Melissa Spencer,1
Tracy Collins,0
Mark Brown,0
Jade Thomas,0
Nicholas Graham,0
Debra Bray,1
Ms. Gemma Parker,1
Frank Robinson,0
Jake Douglas,1
Paige Smith-White,0
Tina Davis-Jones,1
Jeremy Mason,0
Brenda Davis,1
Terry Carter,0
Miss Kerry Kirk,0
Miss Samantha Nash,0
Declan Elliott-Watson,0
Gerald Fisher,0
Rebecca Ward,0
Dr. Conor Stokes,0
Steven Jennings,0
Jeremy Mason,1
Brenda Davis,0
Oliver Ali,0
Nigel Watkins,0
Abdul Wood,0
Leon Cunningham,0
Mr. Callum Richards,0
Aimee Cooper,0
Dawn Perry,0
Vanessa Clarke-Lees,0
Marie Chapman,0
Amber Jones,1
Josephine Webb,0
Ms. Gemma Parker,0
Gerald Roberts,0
Dr. Lauren Kelly,0
Alison Davidson,0
Tracey Owen,1
Sarah Atkinson-Smith,0
Sara Lee,0
Dean Price,1
Miss Jean Johnson,1
Edward Jones,0
Grace Brown,0
Mrs. Sally Berry,0
Diana Lewis,0
Dr. Patricia Garner,0
Wendy Glover,0
Beth Bell,1
Dr. Ian Armstrong,0
John Connolly-Davey,1
Mr. Garry Green,0
Dennis Williams-Singh,0
Terence Green,0
Dr. Naomi Hunt,0
Dr. Matthew Young,0
Mrs. Hayley Burrows,1
Billy White-Thomas,1
Dr. Henry Smart,0
Mr. Ryan Smith,0
Steven Morgan,0
Megan Patel-Davis,0
Gareth Dunn-Rowley,0
Paige Turner,0
Grace Pearson,0
Arthur Jones,0
Miss Jodie Gordon,0
Linda Cook,0
Dr. Alan Hughes,1
Ms. Chelsea Winter,0
Callum Bentley,0
Dawn Phillips,0
Derek Hill,0
Dr. Brian Bryan,0
Mark Martin,0
Mrs. Chloe Tucker,0
Natasha Powell,0
Andrea Hobbs,0
Marcus Price,0
Jeremy Wright,0
Conor Bennett,0
Mr. Garry Green,1
Kenneth Thomas,1
Mandy Thompson-Ahmed,1
Ms. Jean Evans,0
Dr. Paul Blake,0
Paige Turner,0
Mr. Ryan Smith,0
Mrs. Tina Gibson,0
Mr. Jamie Palmer,0
Dr. Matthew Young,0
Chelsea Singh,0
Dr. Tony Barnett,1
Miss Kerry Kirk,0
Ms. Marilyn Macdonald,0
Eleanor Roberts,0
Tracy Collins,0
Tracy Collins,1
Miss Frances Bull,1
Beth George,0
Josephine Dodd,0
Laura Shaw-Turner,0
Kathryn Hunt-Williams,0
Ms. Brenda Richards,0
Ms. Jean Watts,0
Katy Carter-Benson,0
Kenneth Thomson,0
Mr. Robin Smith,0
Miss Tracy Cole,0
Helen Robson-Jones,0
Ms. Geraldine Willis,0
Brandon Davies,0
Jamie Riley,0
Miss Alexandra Graham,0
Bethany Ball,0
Nathan Jones,0
Dr. Brian Bryan,0
Mrs. Kirsty Collins,1
Mr. Derek Hill,1
Mr. Brett Kelly,0
Rachel Harris-Reynolds,0
Dr. Timothy Curtis,0
Ms. Heather Jones,0
Leslie Howard,0
Danielle Jones-Wilkins,0
Dr. Bruce Ellis,0
Mrs. Anne Morris,0
Sarah Atkinson-Smith,0
Jay Rose-Berry,1
Dr. Philip Simpson,0
Bradley Lees,0
Mr. John Simpson,1
Sally Young,1
Graham Thorpe,1
Jemma Wilkinson,1
Leslie Bell-Russell,0
Paula Jackson-Kent,0
Dr. Bryan Daly,1
Lindsey Robinson,0
Lindsey Robinson,0
Dr. Cameron Jones,1
Mr. Callum Richards,0
Mathew Jones,0
Natalie Jones,0
Irene Singh,0
Clare Rees-Moss,0
Ashleigh Pollard,0
Ann Jackson,0
Dr. Stanley Duncan,0
Barry James-King,1
Ms. Gemma Parker,0
Jeremy Clarke,0
William Thomas,0
Douglas Williams,0
Ms. Sophie Perry,0
Mr. Timothy Clayton,0
Andrew Harris-Gordon,0
Dr. Sarah Turner,1
Vincent Stephenson,0
Jessica Lawrence,0
Mathew Gibson,0
Jade Singh-Price,0
Dr. Stuart Johnson,0
Kevin O'Donnell,1
Beth Jackson,0
Adam Little,0
Alice Welch,0
Maria Warren,0
Dr. Christian Smith,0
Dr. Sarah Turner,1
Laura Holden,0
Marilyn Murphy,0
Sally Hughes-Taylor,0
Dr. Sarah Turner,0
Beth Ellis,1
Miss Frances Bull,1
Douglas Wilson-Simpson,0
Trevor Thompson-Graham,1
Lindsey Daniels-Scott,0
Maria Warren,0
Shane Taylor-Weston,0
Mrs. Debra Holloway,0
Danielle Jackson,0
Patrick Black,0
Dr. Leon Thomas,0
Leonard Harris,0
Heather Kelly,1
Annette Owen-Thomas,1
Alex Robinson,0
Joe Robson,1
Jade Thomas,0
Ms. Aimee Marshall,1
Jennifer Little-Allan,0
Mr. Robin Smith,0
Mr. Ronald Brown,0
Raymond Porter,0
Emma Carey-Richardson,0
Pamela O'Connor-Elliott,0
Georgina Edwards,0
Rachael Griffiths,1
Rachel Gibson,0
Elaine Hunt,0
Leonard Harris,0
Kerry Bowen,0
Joel Flynn,0
Dr. Robert Smith,0
Dr. Diane Bird,1
Billy Bolton,1
Julian Morrison-Lewis,0
Andrew Brown,1
Ms. Rosie Greenwood,0
Margaret Bailey,0
Mr. Stanley Pearson,0
Denis Walton,0
Anne Welch-Campbell,0
Martyn Davies-Williams,0
Danielle Jackson,0
Lynda Yates,0
Mr. Raymond Moore,0
Mr. Stuart Jones,0
Miss Diane Hunt,0
Elaine Hughes,0
Mr. Henry Ali,0
Mr. Adrian Jones,0
Dale Knight,0
Jeffrey Knight,0
Gerald Jones,1
Mandy Blake,0
Clare Rees-Moss,0
Ms. Joanne Cook,0
Robin Thomas-Hewitt,0
Vanessa Clarke-Lees,0
Mr. Robin Smith,0
Julian Brown,0
Fiona Bates,0
Ms. Lynn Thomas,1
Miss Joan Wood,1
Dr. Bernard Taylor,0
Mary Abbott,0
Mrs. Jean Bennett,0
Mrs. Joanne Ward,0
Mrs. Gail Lambert,0
Miss Diane Read,0
Nicola Evans,0
Dr. Mohamed Phillips,0
Shane Sullivan,0
Marie Barrett,0
Marilyn Holden,0
Timothy Barker,0
Danielle Hudson,1
Julian Charlton,0
Mrs. Mary Begum,1
Sandra Jones,0
Mandy Blake,0
Gemma Robinson,0
Nicholas Davies,0
Amber Smith,0
Ronald Payne,0
Dr. Bernard Taylor,0
Colin Dawson,0
Jacqueline Morley,0
Lydia Morrison,1
Dr. Steven Dobson,0
Mr. Trevor Parker,1
Frank Howard,1
Hollie Gray-Smith,0
Gemma Rhodes-Whittaker,1
Dr. Frederick Wright,1
Abbie McLean-Fowler,0
Martin Horton,0
Patricia Parker,0
Francesca Coles,0
Dr. Jessica George,0
Mrs. Kate Rogers,0
Trevor Harrison,1
Mr. Douglas Smith,0
Danny Bell,0
Mr. Elliot Kelly,0
Mr. Jason Harding,0
Kim Robinson,0
Dr. Joe Osborne,0
Shane Mann,1
Dr. Kieran Chadwick,0
Marion Walsh,0
Leigh Stone,0
Josh Bryan-Wilson,0
Ryan Hall,0
Alex May,0
Dr. Anthony Price,0
Mr. Lawrence Williams,0
Lee Gill,0
Abbie Barnes,0
Mr. Marc Bevan,1
Adam Hill,0
Mr. Craig Williams,0
Denise Shaw-Jordan,0
Mr. Ricky Williams,0
Danielle Short,1
Raymond Patel,0
Zoe Vaughan-Turner,1
Albert Crawford,1
Peter Sutton,0
Connor Cox,1
Dr. Sean Harvey,0
Christine Smith,1
Dr. Kieran Morris,1
Roger Morrison,0
Stephen Gordon,0
Andrea Murphy,0
Ms. Grace Wells,0
Frances Austin-Smith,0
Dr. Iain Kelly,0
Dr. Bethany Ellis,1
Andrea Butler,0
Elaine Hawkins,1
Emma Carey-Richardson,0
Joseph Lee,0
Hazel Brown,0
Dr. Nicholas Phillips,1
Dr. Adam Bailey,0
Claire Stevenson,0
Kayleigh Jones-Kelly,0
Mrs. Louise Morgan,0
Liam Hall,1
Trevor Williams,1
Mary Richards,1
Marilyn Mellor-Blackburn,0
Miss Nicola Smith,0
Ellie Curtis-Lewis,1
Ms. Amanda Roberts,0
Paige Matthews,0
Dr. Brian Lyons,0
Stewart Pritchard-Young,0
Ms. Eileen Foster,0
Gillian Mason,0
Ricky Rogers,0
Dr. Keith Wilson,1
David Kelly,0
Joan Edwards,0
Ms. Hazel Freeman,0
Mrs. Leanne Henderson,0
Ashley Manning,0
Vanessa Davidson-Humphries,1
Elliot Welch,0
Janet Parkinson,1
Dr. Jeremy Cooper,0
Stacey Richards,0
Brett Young-Marshall,1
Paige Hill,0
Brenda Powell,0
Miss Andrea Watson,1
Colin Butcher,0
Benjamin Phillips,1
Gemma Young-Phillips,0
Mr. David Kemp,0
Maria Brown,0
Louise Morris,0
Justin Kay,0
Christian Martin,1
Miss Joanne Wilson,0
Dale Scott,0
Oliver Bennett,0
Brian Singh-Simpson,0
Pamela Jones,0
Lindsey Daniels-Scott,0
Jennifer Freeman-Barrett,0
Chloe Cameron,1
Dr. Louise Hancock,1
Jade Wilson,0
Miss Joanne Wilson,0
Brett Young-Marshall,1
Howard Jennings,0
Joseph Lee,0
Deborah Scott,0
Francesca Graham,1
Joe Robson,1
John Holmes,0
Jodie Williams,0
Anne Collins-Barber,0
Kenneth Carter,0
Jean Potter-Johnson,0
Duncan Brown-Wright,0
Leigh Russell,0
Angela Walker,0
Ms. Donna Smith,0
Mr. Kenneth Woodward,0
Josephine Dodd,0
Mohamed Bell,0
Ann Jackson,0
Dean Marsh,0
Mrs. Anne Morris,0
Kim Randall,1
Miss Marion Singh,0
Lauren Allen-White,0
Katie Leach-Barnes,0
Bradley Lambert,1
Mr. Jeffrey Baxter,0
Donna Wood,0
Clare Barker-Parker,1
Ian Ward,0
Ms. Lynn Thomas,1
Beverley Price,0
Katy White,0
Owen Yates,0
Eleanor Browne,0
Katherine Morgan,0
Toby Richards,0
Geraldine Phillips,0
Declan Wood,0
Cameron Evans,0
Dr. Clive Thompson,0
Lynn Wood,0
Hayley Stevenson,1
Matthew Jones,1
Grace Lambert,0
Dr. Jeffrey Giles,1
Pamela Jones,0
Graham Doyle,0
Nigel Wells,0
Miss Ellie Kelly,0
Mr. Toby Fuller,0
David Dean-Pearce,0
Billy Barrett,1
Phillip Rees,1
Emma Gardner,1
Nicole Rogers-Palmer,1
Wayne Davies,0
Elizabeth Harrison-Davis,0
Victor McLean,0
Georgina Craig,0
Grace Lambert,0
Andrew Marshall,0
Mrs. Judith Brown,0
Lydia Whitehouse,0
Matthew Jones,1
Nicholas Hunt,1
Jasmine Ashton-Daniels,0
Janice Hale-Jones,0
Judith Patel,0
Hugh Spencer-Williamson,0
Russell Grant-Taylor,0
Melanie Smith,0
Margaret Khan,0
Harry Robinson,0
Dr. Simon Rees,0
Mathew Pickering,0
Grace Lambert,0
Dr. Stewart Waters,0
Dr. Christine Hilton,0
Katherine Morgan,1
Jenna Jennings,0
Connor Cox,0
Leah Oliver,1
Timothy Ali,1
Natalie King,0
Diane Moore,1
Michael Young,0
Gemma Green-Ward,1
Teresa Curtis,0
Mrs. Tracy Jones,1
Dr. Bernard Holland,0
Geraldine Davies,1
Maureen Sullivan,0
Richard Coleman,0
Brian Singh-Simpson,0
Amy Dean,0
Martin Andrews,0
Julie Welch,0
Nigel Archer-Hicks,0
Henry White,0
Reece Kelly,0
Tracy Andrews,0
Ian Baker,0
Mr. Howard Chapman,0
Leonard Thomas-Patel,0
Benjamin King-Alexander,0
Dr. Martin Davies,0
Marie Chapman,0
Dawn Phillips,0
Martyn Griffiths,0
Hugh Turner,0
Phillip Rees,1
Mr. Tony Lewis,0
Mrs. Ellie Thornton,0
Nigel Archer-Hicks,0
Dr. Lewis Wilkinson,0
Dr. Cameron Savage,0
Marie Barrett,1
Leonard Thomas-Patel,0
Kenneth Thomson,0
Mohamed Kelly,0
Miss Sophie Ferguson,0
Steven Kennedy-Jones,0
Dr. Marian Smith,1
Kenneth Thomson,1
Danielle Sharp,0
Danielle Sharp,0
Edward Griffiths-Naylor,0
Charlene Miller,0
Mrs. Leah Mills,1
Clare Barker-Parker,1
Marcus Thomas-Marshall,0
Lucy O'Connor,0
Denis Johnson,0
Henry Shah,0
Dr. Kyle Harris,1
Joel Law,1
Craig Fletcher,0
Mr. Jordan Doherty,1
Beverley Quinn,0
Antony Gallagher,0
Olivia Gibbons,0
Ms. Carol Stevenson,0
Guy Gibson,0
Kathleen Turner,1
Alice Shaw,0
Dr. Donna Price,0
Mr. Lee Reynolds,0
Mr. Sean Perkins,0
Jade Newton,0
Dr. Marian Smith,0
Dr. Antony Clark,0
Jenna Hamilton,0
Mr. Garry Green,1
Lesley Jenkins,0
Mr. Dominic Henderson,0
Naomi Hughes,1
Ms. Leanne Bond,1
Ashleigh Byrne-Bradley,1
Lynne Richardson,0
Emma Carey-Richardson,0
Francis Morgan,0
Leslie Shaw-Davies,0
Dr. Lawrence Macdonald,0
Natalie Whitehouse,0
Mrs. Francesca Barber,0
Ms. Sophie Perry,0
Glen Gregory,0
Mr. Toby Palmer,1
Heather McKenzie,0
Dr. Alison Gray,1
Clifford Kennedy,0
Laura Miller-Nicholls,0
Lewis Harris,1
Max Simpson,0
Alison Stone,0
Caroline Smith,1
Kayleigh Brown-Miles,0
Sian Higgins,1
Hollie Oliver-Davidson,1
Brian Cartwright,0
Natasha Jones,1
Natalie Edwards,0
Joe Robson,1
Miss Paige Burrows,1
Mr. Nigel Kelly,0
Jay Russell,1
Alan Woodward,0
Kimberley Robertson,0
Sarah Hughes-Wright,0
Dr. Steven Dobson,0
Miss Paige Burrows,0
Mr. Bernard Cooper,0
Robert Patel,0
Carl Begum,0
Cheryl Jones,0
Lynn Dixon,0
Ashleigh Hall,0
Mrs. Sally Walker,1
Mrs. Eleanor Dunn,1
Margaret Hall-Chapman,1
Ms. Charlene Vincent,0
Annette Dunn,0
Dr. Samuel Watson,0
Graeme Storey,0
Miss Tracy Cole,0
Miss Paige Burrows,0
Dr. Linda King,0
Neil Dale,0
Bethany Thomas-Roberts,0
Rachael Collins,0
Liam Martin,0
Alison Oliver,0
Oliver Roberts,0
Ben Cole,0
Peter Vincent,0
Graeme Jordan,0
Lynda Lewis-Akhtar,0
Cameron Goddard,1
Ashley Brown,0
Miss Carolyn Smith,0
Suzanne Gordon,0
Dr. Jay Howell,0
Mark Brown,0
Benjamin Clark-Webb,0
Oliver Atkinson,0
Mathew Gibson,1
Dr. Lynne Taylor,1
Paige Bennett-Robinson,1
Adrian Ross-Leach,1
Gillian Taylor,0
Jayne Bentley,0
Matthew Gordon,0
Dr. Graham Brown,0
Mr. Joseph Burrows,0
Miss Beth Bennett,0
Ashleigh Byrne-Bradley,1
Diana Summers,0
Carly Ahmed,0
Eleanor Thornton,1
Duncan Charlton,0
Eleanor Thornton,0
Antony Walsh,1
Mr. Callum Richards,0
Dr. Steven Dobson,0
Nicola Smith,0
Carole Wood,1
Caroline Walters,0
Bruce Morgan,1
Dr. Nicholas Holland,1
Marian Richards,0
Damien Richards-Davies,0
Dr. Melanie O'Neill,1
Elliott Morris,0
June Rogers,0
Jemma Higgins,0
Mr. Julian Baker,0
Dr. Josephine Scott,0
Danielle Jones,0
Mr. Paul Chapman,0
Mary Clark,0
Ms. Rachael Jackson,0
Clifford Thompson,0
Shaun Fuller,1
Jay Hurst,0
Joel Evans,0
Andrew Noble,0
Amelia Baker,0
Kate Fowler,0
Matthew Jones,1
Dr. Annette Pugh,0
Miss Sophie Ferguson,0
Dylan Fox,0
Ms. Amelia Bibi,0
Ann Taylor,0
Shaun Walters-Hall,0
Tina Jones,0
Toby Chambers,0
Mr. Callum Richards,0
Mr. Shaun Gough,0
Mrs. Sharon Scott,0
Raymond Riley,0
Natalie Law-Allen,0
Mrs. Hilary Arnold,0
Louis Stevens,0
Dr. Eleanor Holland,0
Carly Dixon,0
Rachael Palmer,0
Jack Brennan,0
Terence Oliver,0
Liam Harper,0
Nathan Jones,0
Marian Day,0
Dr. Joyce Atkins,0
Paul Fuller-Patel,0
Caroline Walters,0
Patricia Bennett,0
Shaun Fuller,1
Dr. Steven Dobson,0
Lucy Whitehead,0
Louis Lowe,1
Mathew Kerr,0
Ms. Jodie Ward,0
Dale Smith,0
Roy Parkin,0
Leon Woodward,0
Danielle Baker,0
Beverley Marshall-Archer,0
Mrs. Eleanor Dunn,0
Andrew Clarke,0
Connor Barker-Taylor,0
Amy Adams,0
Christian Hawkins-Bentley,0
Victor Townsend,0
Malcolm Wells,0
Lydia Nash,1
Brenda Jones,0
Linda Thomas,0
John Connolly-Davey,1
Nicola King,1
Joe Robson,1
Aimee Marshall,0
Mr. Alan Davidson,0
Dr. Sally Armstrong,0
Mr. Kevin Lee,0
Leanne Smith,0
Mary Harrison,1
Billy Davies-Shaw,0
Yvonne Garner,0
Donald Bailey-Owens,0
Martyn Lloyd,0
Miss Charlotte Williams,0
Stewart Thomas,0
Mr. Elliot Powell,1
Mr. Arthur Thompson,0
Marian Mitchell,0
Steven Jennings,0
Bethany Thomas-Roberts,0
Claire Gregory,0
Ricky Fraser,1
Dr. Bradley Hartley,0
Dennis Saunders,0
Dr. Andrew Jones,0
Toby Taylor,0
Cheryl Kent,0
Rachel Harris-Reynolds,0
Harry Robinson,0
Dr. Lindsey Evans,0
Abdul Edwards,0
Ben Brown,0
Stewart Robinson,0
Victoria White,0
Victoria White,0
Mitchell Williams,0
Hilary Mitchell-Allen,0
Hilary Mitchell-Allen,0
Ashley Manning,0
Dr. Nicholas Holland,1
Katy Holmes,0
Mr. Brett Kelly,0
Victoria White,0
Dr. Steven Dobson,0
Shaun Fuller,1
Bethany Thomas-Roberts,0
Marie Harding,0
Mr. Vincent Ellis,0
Stacey Holden,0
Mr. Peter Browne,0
Gerard Stevens,0
Jemma Nolan,0
Peter Robson,0
Paige Mitchell-Davis,0
Sara Clarke,0
Declan Smith,1
Rachael Moore-Williams,0
Dr. Charles Thompson,1
Andrew Rhodes,0
Dr. Callum Stevens,0
Dale Lowe,0
Amanda Thomas,1
Joel Wilkinson,0
Marion Cook,0
Fiona Noble,1
Dorothy Brown,1
Amber Smith,0
Andrew Clarke,0
Kayleigh Jones-Kelly,0
Annette Owen-Thomas,1
Patricia Reynolds,0
Kimberley George,0
Shaun Fuller,1
Dr. Steven Dobson,0
Mr. Jeffrey Baxter,0
Dr. Denis Patel,0
Beth George,0
Robert Hall,0
Gail Ahmed,1
Joan Smith,0
Heather Yates,0
Benjamin Clark-Webb,0
Lawrence Nicholson,0
Alison Green,0
Jane Norris,0
Mr. Bryan Johnson,0
Julia Charlton,0
Joe Knight,0
Matthew Jones,1
Matthew Jones,1
Danielle Gordon,0
Linda Thomas,0
Danielle Gordon,0
Danielle Gordon,1
Mrs. Anne Taylor,0
Nigel Smith,1
Carolyn Hunter,0
Chloe Chapman,1
Jayne Kaur,0
Beth Arnold,0
Mrs. Barbara Shah,1
Patricia Williams,0
Gerard Gordon,0
Mr. Brett Kelly,0
Paige Mitchell-Davis,0
Jane Norris,0
Gerard Gordon,0
Sylvia Andrews,1
Mr. Tony Kelly,1
Harriet Kirk,0
Mary Rose,0
Mr. Howard Chapman,0
Leslie Smith,1
Jeffrey Johnson,1
Robin Thomas-Hewitt,0
Frank Wilson,1
Alexandra Booth,0
Christian Ross,0
Mrs. Jenna Joyce,0
Dr. Terence Clark,0
Alexander Saunders,0
Laura Barlow,1
John Hunt,0
Gerard Gordon,0
Dr. Josephine Scott,0
Elizabeth Harrison-Davis,0
Irene Taylor,0
Oliver Ali,0
Bruce Morgan,0
Harry Chapman,0
Karen Reynolds,0
Timothy Shaw,0
Ms. Pauline Sinclair,1
Mr. Connor Ball,0
Jacob Naylor,0
Dr. Beverley Simmons,1
Shaun Lynch,0
Dr. Peter Harris,0
Lynne Rees,0
Mrs. Molly Barlow,0
Geraldine Pope-Palmer,0
Mrs. Caroline Gibbs,0
Dr. Nigel Hartley,0
Martin Price,0
Ms. Valerie Saunders,0
Mr. Wayne Wright,1
Rachael Palmer,0
Iain Brown-Taylor,1
Mr. Paul Chapman,0
Luke Austin,0
Carl Hawkins,0
Matthew Howe-Freeman,1
Dr. Lesley Thompson,0
Clifford Jones-Gill,1
Dr. Eric Turner,0
Vincent Stephenson,0
Jeffrey Johnson,1
Joyce Peacock-Harrison,0
Joyce Peacock-Harrison,0
Vincent Walker-Kaur,0
Ms. Kate Forster,0
Hilary Lynch,0
Keith Allen,0
Denise Harrison,0
Glen Lynch,1
Sian Edwards,0
Alexandra Booth,0
